param-n,uconstr-I-1000-real,uconstr-I-1000-sys,uconstr-I-1000-user
718,0.035,0.,0.035
719,0.035,0.,0.035
720,0.035,0.,0.035
721,0.035,0.,0.035
722,0.035,0.,0.035
723,0.035,0.,0.035
724,0.036,0.,0.036
725,0.035,0.,0.035
726,0.036,0.,0.036
727,0.035,0.,0.035
728,0.036,0.,0.036
729,0.035,0.,0.035
730,0.036,0.,0.036
731,0.036,0.,0.036
732,0.036,0.003,0.032
733,0.036,0.,0.036
734,0.036,0.,0.036
735,0.037,0.,0.037
736,0.036,0.,0.036
737,0.037,0.,0.037
738,0.036,0.,0.036
739,0.036,0.,0.036
740,0.036,0.,0.036
741,0.036,0.,0.036
742,0.037,0.,0.037
743,0.037,0.,0.037
744,0.036,0.,0.036
745,0.037,0.,0.037
746,0.036,0.,0.036
747,0.037,0.,0.037
748,0.036,0.,0.036
749,0.036,0.,0.036
750,0.037,0.,0.037
751,0.037,0.,0.037
752,0.036,0.,0.036
753,0.038,0.,0.038
754,0.037,0.,0.037
755,0.037,0.,0.037
756,0.037,0.,0.037
757,0.037,0.,0.037
758,0.038,0.,0.038
759,0.037,0.,0.037
760,0.037,0.,0.037
761,0.037,0.,0.037
762,0.037,0.,0.037
763,0.038,0.,0.038
764,0.038,0.,0.038
765,0.038,0.,0.038
766,0.038,0.,0.038
767,0.038,0.,0.038
768,0.038,0.,0.038
769,0.038,0.,0.038
770,0.038,0.,0.038
771,0.039,0.,0.039
772,0.039,0.,0.039
773,0.038,0.,0.038
774,0.039,0.,0.039
775,0.038,0.,0.038
776,0.038,0.,0.038
777,0.039,0.,0.039
778,0.038,0.,0.038
779,0.039,0.,0.039
780,0.038,0.,0.038
781,0.038,0.,0.038
782,0.039,0.,0.039
783,0.039,0.,0.039
784,0.039,0.,0.039
785,0.038,0.,0.038
786,0.038,0.,0.038
787,0.039,0.,0.039
788,0.039,0.,0.039
789,0.039,0.,0.039
790,0.039,0.,0.039
791,0.039,0.,0.039
792,0.039,0.,0.039
793,0.039,0.,0.039
794,0.039,0.,0.039
795,0.039,0.,0.039
796,0.039,0.,0.039
797,0.039,0.,0.039
798,0.039,0.,0.039
799,0.039,0.,0.039
800,0.04,0.,0.04
801,0.039,0.,0.039
802,0.04,0.,0.04
803,0.04,0.,0.04
804,0.04,0.,0.04
805,0.04,0.,0.04
806,0.039,0.,0.039
807,0.04,0.,0.04
808,0.04,0.,0.04
809,0.04,0.,0.04
810,0.041,0.,0.041
811,0.04,0.,0.04
812,0.04,0.,0.04
813,0.04,0.,0.04
814,0.041,0.,0.041
815,0.041,0.,0.041
816,0.041,0.,0.041
817,0.041,0.,0.041
818,0.04,0.,0.04
819,0.04,0.,0.04
820,0.04,0.,0.04
821,0.04,0.,0.04
822,0.04,0.,0.04
823,0.041,0.,0.041
824,0.041,0.,0.041
825,0.041,0.,0.041
826,0.042,0.,0.042
827,0.041,0.,0.041
828,0.041,0.,0.041
829,0.042,0.,0.042
830,0.041,0.,0.041
831,0.041,0.,0.041
832,0.041,0.,0.041
833,0.042,0.,0.042
834,0.041,0.,0.041
835,0.041,0.,0.041
836,0.042,0.,0.042
837,0.041,0.,0.041
838,0.042,0.,0.042
839,0.042,0.,0.042
840,0.042,0.,0.042
841,0.042,0.,0.042
842,0.042,0.,0.042
843,0.042,0.,0.042
844,0.042,0.,0.042
845,0.042,0.,0.042
846,0.042,0.,0.042
847,0.042,0.,0.042
848,0.042,0.,0.042
849,0.042,0.,0.042
850,0.042,0.,0.042
851,0.042,0.,0.042
852,0.042,0.,0.042
853,0.043,0.,0.043
854,0.042,0.,0.042
855,0.042,0.,0.042
856,0.043,0.,0.043
857,0.042,0.,0.042
858,0.042,0.,0.042
859,0.043,0.,0.043
860,0.042,0.,0.042
861,0.042,0.,0.042
862,0.043,0.,0.043
863,0.043,0.,0.043
864,0.043,0.,0.043
865,0.043,0.,0.043
866,0.043,0.,0.043
867,0.044,0.,0.044
868,0.043,0.,0.043
869,0.044,0.,0.044
870,0.043,0.,0.043
871,0.043,0.,0.043
872,0.043,0.,0.043
873,0.044,0.,0.044
874,0.043,0.,0.043
875,0.045,0.,0.043
876,0.044,0.,0.044
877,0.043,0.,0.043
878,0.044,0.,0.044
879,0.043,0.,0.043
880,0.044,0.,0.044
881,0.043,0.,0.043
882,0.043,0.,0.043
883,0.043,0.,0.043
884,0.044,0.,0.044
885,0.044,0.,0.044
886,0.044,0.,0.044
887,0.045,0.,0.045
888,0.043,0.,0.043
889,0.043,0.,0.043
890,0.044,0.,0.044
891,0.044,0.,0.044
892,0.045,0.,0.045
893,0.044,0.,0.044
894,0.044,0.,0.044
895,0.044,0.,0.044
896,0.045,0.,0.045
897,0.044,0.,0.044
898,0.044,0.,0.044
899,0.044,0.,0.044
900,0.045,0.,0.045
901,0.044,0.,0.044
902,0.044,0.,0.044
903,0.045,0.,0.045
904,0.045,0.,0.045
905,0.045,0.,0.045
906,0.045,0.,0.045
907,0.045,0.,0.045
908,0.045,0.,0.045
909,0.045,0.,0.045
910,0.045,0.,0.045
911,0.045,0.,0.045
912,0.045,0.,0.045
913,0.045,0.,0.045
914,0.045,0.,0.045
915,0.045,0.,0.045
916,0.046,0.,0.046
917,0.045,0.,0.045
918,0.046,0.,0.046
919,0.046,0.,0.046
920,0.045,0.,0.045
921,0.045,0.,0.045
922,0.046,0.,0.046
923,0.046,0.,0.046
924,0.046,0.,0.046
925,0.046,0.,0.046
926,0.047,0.,0.047
927,0.046,0.,0.046
928,0.046,0.,0.046
929,0.046,0.,0.046
930,0.046,0.,0.046
931,0.046,0.,0.046
932,0.047,0.,0.047
933,0.046,0.,0.046
934,0.047,0.,0.047
935,0.046,0.,0.046
936,0.047,0.,0.047
937,0.046,0.,0.046
938,0.047,0.,0.047
939,0.046,0.,0.046
940,0.047,0.,0.047
941,0.047,0.,0.047
942,0.046,0.,0.046
943,0.046,0.,0.046
944,0.047,0.,0.047
945,0.048,0.,0.048
946,0.047,0.,0.047
947,0.046,0.,0.046
948,0.047,0.,0.047
949,0.047,0.,0.047
950,0.047,0.,0.047
951,0.047,0.,0.047
952,0.047,0.003,0.043
953,0.048,0.,0.048
954,0.048,0.,0.048
955,0.048,0.,0.048
956,0.047,0.,0.047
957,0.047,0.,0.047
958,0.047,0.,0.047
959,0.048,0.,0.048
960,0.048,0.,0.048
961,0.048,0.,0.048
962,0.047,0.,0.047
963,0.048,0.,0.048
964,0.047,0.,0.047
965,0.048,0.,0.048
966,0.048,0.,0.048
967,0.048,0.,0.048
968,0.048,0.,0.048
969,0.048,0.,0.048
970,0.048,0.,0.048
971,0.048,0.,0.048
972,0.048,0.,0.048
973,0.048,0.,0.048
974,0.048,0.,0.048
975,0.048,0.,0.048
976,0.048,0.,0.048
977,0.048,0.,0.048
978,0.049,0.,0.049
979,0.048,0.,0.048
980,0.049,0.,0.049
981,0.049,0.,0.049
982,0.048,0.,0.048
983,0.049,0.,0.049
984,0.05,0.,0.05
985,0.049,0.,0.049
986,0.049,0.,0.049
987,0.049,0.,0.049
988,0.049,0.,0.049
989,0.049,0.,0.049
990,0.049,0.,0.049
991,0.05,0.,0.05
992,0.049,0.,0.049
993,0.049,0.,0.049
994,0.049,0.,0.049
995,0.049,0.,0.049
996,0.049,0.,0.049
997,0.05,0.,0.05
998,0.049,0.,0.049
999,0.05,0.,0.05
1000,0.049,0.,0.049
1001,0.049,0.,0.049
1002,0.05,0.,0.05
1003,0.05,0.,0.05
1004,0.05,0.,0.05
1005,0.049,0.,0.049
1006,0.05,0.,0.05
1007,0.05,0.,0.05
1008,0.05,0.,0.05
1009,0.051,0.,0.051
