param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
255,0.008,0.,0.008,0.068,0.,0.068,0.06,0.,0.06,0.059,0.,0.059
256,0.008,0.,0.008,0.07,0.,0.07,0.057,0.,0.057,0.061,0.,0.061
257,0.009,0.,0.009,0.065,0.,0.065,0.056,0.,0.056,0.055,0.,0.055
258,0.008,0.,0.008,0.07,0.,0.07,0.062,0.,0.062,0.061,0.,0.061
259,0.008,0.,0.008,0.071,0.,0.071,0.058,0.003,0.054,0.062,0.,0.062
260,0.01,0.,0.01,0.067,0.,0.067,0.057,0.,0.057,0.057,0.,0.057
261,0.008,0.,0.008,0.072,0.,0.072,0.061,0.,0.061,0.064,0.,0.064
262,0.011,0.,0.011,0.074,0.,0.074,0.064,0.,0.064,0.062,0.,0.062
263,0.008,0.,0.008,0.077,0.,0.077,0.06,0.,0.06,0.068,0.,0.068
264,0.008,0.,0.008,0.068,0.,0.068,0.066,0.,0.066,0.058,0.,0.058
265,0.009,0.,0.009,0.076,0.,0.076,0.063,0.,0.063,0.066,0.,0.066
266,0.011,0.,0.011,0.076,0.,0.076,0.064,0.,0.064,0.064,0.,0.064
267,0.009,0.,0.009,0.075,0.,0.075,0.061,0.,0.061,0.065,0.,0.065
268,0.01,0.,0.01,0.072,0.,0.072,0.061,0.,0.061,0.062,0.,0.062
269,0.009,0.,0.009,0.077,0.,0.077,0.07,0.,0.07,0.068,0.,0.068
270,0.009,0.,0.009,0.076,0.,0.076,0.067,0.,0.067,0.067,0.,0.067
271,0.01,0.,0.01,0.073,0.,0.073,0.062,0.,0.062,0.063,0.,0.063
272,0.009,0.,0.009,0.083,0.,0.083,0.075,0.,0.075,0.073,0.,0.073
273,0.009,0.,0.009,0.083,0.,0.083,0.066,0.,0.066,0.073,0.,0.073
274,0.009,0.,0.009,0.082,0.,0.082,0.066,0.,0.066,0.072,0.,0.072
275,0.015,0.,0.015,0.084,0.,0.084,0.072,0.,0.072,0.068,0.,0.068
276,0.009,0.,0.009,0.083,0.,0.083,0.072,0.,0.072,0.074,0.,0.074
277,0.009,0.,0.009,0.084,0.,0.084,0.072,0.,0.072,0.074,0.,0.074
278,0.009,0.,0.009,0.084,0.,0.084,0.072,0.,0.072,0.074,0.,0.074
279,0.009,0.,0.009,0.084,0.,0.084,0.074,0.,0.074,0.074,0.,0.074
280,0.009,0.,0.009,0.082,0.,0.082,0.071,0.,0.071,0.072,0.,0.072
281,0.009,0.,0.009,0.081,0.,0.081,0.068,0.,0.068,0.071,0.,0.071
282,0.009,0.,0.009,0.082,0.,0.082,0.069,0.,0.069,0.072,0.,0.072
283,0.009,0.,0.009,0.081,0.,0.082,0.069,0.,0.069,0.072,0.,0.072
284,0.009,0.,0.009,0.082,0.,0.082,0.07,0.,0.07,0.072,0.,0.072
285,0.009,0.,0.009,0.082,0.,0.082,0.078,0.,0.078,0.072,0.,0.072
286,0.009,0.,0.009,0.085,0.,0.085,0.073,0.,0.073,0.075,0.,0.075
287,0.009,0.,0.009,0.086,0.,0.086,0.074,0.003,0.07,0.076,0.,0.076
288,0.009,0.,0.009,0.085,0.,0.085,0.074,0.003,0.07,0.075,0.,0.075
289,0.009,0.,0.009,0.087,0.,0.087,0.075,0.,0.075,0.077,0.,0.077
290,0.012,0.,0.012,0.087,0.,0.087,0.076,0.003,0.072,0.074,0.,0.074
291,0.012,0.,0.012,0.09,0.,0.09,0.078,0.,0.078,0.077,0.,0.077
292,0.009,0.,0.009,0.088,0.,0.088,0.079,0.,0.079,0.078,0.,0.078
293,0.009,0.,0.009,0.088,0.,0.088,0.08,0.,0.08,0.078,0.,0.078
294,0.016,0.,0.016,0.089,0.,0.089,0.072,0.,0.072,0.073,0.,0.073
295,0.009,0.,0.009,0.087,0.,0.087,0.076,0.,0.076,0.077,0.,0.077
296,0.009,0.,0.009,0.088,0.,0.088,0.077,0.,0.077,0.078,0.,0.078
297,0.012,0.,0.012,0.096,0.,0.096,0.082,0.,0.082,0.084,0.,0.084
298,0.01,0.,0.01,0.095,0.,0.095,0.082,0.,0.082,0.084,0.,0.084
