param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,eta-cast-pf-real,eta-cast-pf-sys,eta-cast-pf-user,eta-constr-pf-real,eta-constr-pf-sys,eta-constr-pf-user,eta-make-let-ins-real,eta-make-let-ins-sys,eta-make-let-ins-user,eta-make-pf-real,eta-make-pf-sys,eta-make-pf-user,eta-refine-real,eta-refine-sys,eta-refine-user,eta-refine-and-close-real,eta-refine-and-close-sys,eta-refine-and-close-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
62,0.,0.,0.,0.018,0.,0.018,0.003,0.,0.003,0.083,0.003,0.079,0.018,0.,0.018,0.,0.,0.,0.001,0.,0.001,0.463,0.003,0.459,0.011,0.,0.011,0.,0.,0.,0.145,0.003,0.141,0.085,0.,0.084,0.019,0.,0.019,0.197,0.,0.197,0.014,0.,0.014,0.459,0.003,0.454
63,0.,0.,0.,0.016,0.,0.016,0.003,0.,0.003,0.085,0.,0.085,0.024,0.,0.024,0.,0.,0.,0.001,0.,0.001,0.49,0.,0.489,0.011,0.,0.011,0.,0.,0.,0.151,0.,0.151,0.081,0.,0.081,0.02,0.,0.02,0.218,0.,0.218,0.014,0.,0.014,0.485,0.,0.484
64,0.,0.,0.,0.017,0.,0.017,0.004,0.,0.004,0.092,0.003,0.088,0.025,0.,0.025,0.,0.,0.,0.003,0.003,0.,0.527,0.011,0.515,0.012,0.,0.012,0.,0.,0.,0.163,0.007,0.155,0.089,0.,0.089,0.02,0.,0.02,0.235,0.003,0.231,0.014,0.,0.014,0.522,0.011,0.509
65,0.,0.,0.,0.031,0.,0.031,0.004,0.,0.004,0.092,0.,0.092,0.019,0.,0.019,0.,0.,0.,0.001,0.,0.001,0.576,0.004,0.571,0.013,0.,0.013,0.,0.,0.,0.182,0.,0.182,0.096,0.,0.096,0.02,0.,0.02,0.257,0.003,0.253,0.015,0.,0.015,0.571,0.004,0.566
66,0.,0.,0.,0.018,0.,0.018,0.019,0.,0.019,0.106,0.,0.106,0.019,0.,0.019,0.,0.,0.,0.001,0.,0.001,0.663,0.,0.662,0.012,0.,0.012,0.,0.,0.,0.205,0.,0.205,0.115,0.,0.115,0.021,0.,0.021,0.301,0.,0.301,0.015,0.,0.015,0.658,0.,0.657
67,0.,0.,0.,0.019,0.,0.019,0.004,0.,0.004,0.116,0.,0.116,0.034,0.,0.034,0.,0.,0.,0.001,0.,0.001,0.726,0.,0.725,0.013,0.,0.013,0.,0.,0.,0.211,0.,0.211,0.137,0.,0.137,0.021,0.,0.021,0.335,0.,0.335,0.015,0.,0.015,0.721,0.,0.72
68,0.,0.,0.,0.024,0.,0.024,0.004,0.,0.004,0.104,0.,0.104,0.033,0.,0.033,0.,0.,0.,0.001,0.,0.001,0.696,0.011,0.683,0.013,0.,0.013,0.,0.,0.,0.189,0.003,0.184,0.128,0.007,0.12,0.022,0.,0.022,0.337,0.,0.336,0.016,0.,0.016,0.69,0.011,0.678
69,0.,0.,0.,0.025,0.,0.025,0.004,0.,0.004,0.128,0.003,0.124,0.02,0.,0.02,0.,0.,0.,0.001,0.,0.001,0.749,0.003,0.744,0.013,0.,0.013,0.,0.,0.,0.205,0.003,0.2,0.137,0.,0.136,0.022,0.,0.022,0.364,0.,0.364,0.016,0.,0.016,0.743,0.003,0.739
70,0.,0.,0.,0.021,0.,0.021,0.004,0.,0.004,0.131,0.003,0.127,0.026,0.,0.026,0.,0.,0.,0.001,0.,0.001,0.814,0.007,0.805,0.018,0.,0.018,0.,0.,0.,0.21,0.003,0.205,0.155,0.,0.155,0.022,0.,0.022,0.4,0.003,0.396,0.016,0.,0.016,0.808,0.007,0.799
71,0.,0.,0.,0.036,0.,0.036,0.004,0.,0.004,0.134,0.,0.134,0.03,0.,0.03,0.,0.,0.,0.001,0.,0.001,0.862,0.,0.861,0.013,0.,0.013,0.,0.,0.,0.23,0.,0.23,0.165,0.,0.165,0.023,0.,0.023,0.422,0.,0.422,0.017,0.,0.017,0.856,0.,0.856
