param-n build-and-open-real build-and-open-sys build-and-open-user open-constr-real open-constr-sys open-constr-user uconstr-real uconstr-sys uconstr-user
286 0.055 0. 0.055 0.05 0. 0.05 0.004 0. 0.004
287 0.055 0. 0.055 0.05 0. 0.05 0.004 0. 0.004
288 0.055 0. 0.055 0.051 0. 0.051 0.004 0. 0.004
289 0.056 0. 0.056 0.052 0. 0.052 0.004 0. 0.004
290 0.056 0. 0.056 0.052 0. 0.052 0.004 0. 0.004
291 0.057 0. 0.057 0.053 0. 0.053 0.004 0. 0.004
292 0.06 0. 0.06 0.056 0. 0.056 0.004 0. 0.004
293 0.08 0. 0.08 0.076 0. 0.076 0.004 0. 0.004
294 0.075 0. 0.075 0.07 0. 0.07 0.004 0. 0.004
295 0.075 0. 0.075 0.071 0. 0.071 0.004 0. 0.004
296 0.067 0. 0.067 0.062 0. 0.062 0.004 0. 0.004
297 0.058 0. 0.058 0.053 0. 0.053 0.004 0. 0.004
298 0.059 0. 0.059 0.055 0. 0.055 0.004 0. 0.004
299 0.059 0. 0.059 0.054 0. 0.054 0.004 0. 0.004
300 0.061 0. 0.061 0.056 0. 0.056 0.004 0. 0.004
301 0.06 0. 0.06 0.055 0. 0.055 0.004 0. 0.004
302 0.061 0. 0.061 0.056 0. 0.056 0.004 0. 0.004
303 0.062 0. 0.062 0.057 0. 0.057 0.004 0. 0.004
304 0.066 0. 0.066 0.062 0. 0.062 0.004 0. 0.004
305 0.088 0. 0.088 0.083 0. 0.083 0.004 0. 0.004
306 0.081 0. 0.081 0.076 0. 0.076 0.004 0. 0.004
307 0.08 0. 0.08 0.075 0. 0.075 0.004 0. 0.004
308 0.073 0. 0.073 0.068 0. 0.068 0.004 0. 0.004
309 0.058 0. 0.058 0.053 0. 0.053 0.004 0. 0.004
310 0.064 0. 0.064 0.059 0. 0.059 0.004 0. 0.004
311 0.064 0. 0.064 0.06 0. 0.06 0.004 0. 0.004
312 0.064 0. 0.064 0.059 0. 0.059 0.004 0. 0.004
313 0.065 0. 0.065 0.06 0. 0.06 0.004 0. 0.004
314 0.066 0. 0.066 0.061 0. 0.061 0.004 0. 0.004
315 0.066 0. 0.066 0.061 0. 0.061 0.004 0. 0.004
316 0.073 0. 0.073 0.068 0. 0.068 0.004 0. 0.004
317 0.092 0. 0.092 0.087 0. 0.087 0.004 0. 0.004
318 0.087 0. 0.087 0.082 0. 0.082 0.004 0. 0.004
319 0.08 0. 0.08 0.076 0. 0.076 0.004 0. 0.004
320 0.074 0. 0.074 0.069 0. 0.069 0.004 0. 0.004
321 0.068 0. 0.068 0.063 0. 0.063 0.004 0. 0.004
322 0.069 0. 0.069 0.064 0. 0.064 0.004 0. 0.004
323 0.069 0. 0.069 0.064 0. 0.064 0.004 0. 0.004
324 0.07 0. 0.07 0.065 0. 0.065 0.004 0. 0.004
325 0.07 0. 0.07 0.065 0. 0.065 0.004 0. 0.004
326 0.076 0. 0.076 0.071 0. 0.071 0.004 0. 0.004
327 0.1 0. 0.1 0.095 0. 0.095 0.004 0. 0.004
328 0.093 0. 0.093 0.088 0. 0.088 0.004 0. 0.004
329 0.085 0. 0.085 0.08 0. 0.08 0.004 0. 0.004
330 0.078 0. 0.078 0.073 0. 0.073 0.004 0. 0.004
331 0.072 0.003 0.068 0.067 0. 0.067 0.004 0.003 0.
332 0.073 0. 0.073 0.067 0. 0.067 0.005 0. 0.005
333 0.074 0. 0.074 0.069 0. 0.069 0.005 0. 0.005
334 0.074 0. 0.074 0.069 0. 0.069 0.004 0. 0.004
335 0.074 0. 0.074 0.069 0. 0.069 0.005 0. 0.005
336 0.086 0. 0.086 0.081 0. 0.081 0.005 0. 0.005
337 0.102 0. 0.102 0.097 0. 0.097 0.005 0. 0.005
338 0.098 0. 0.098 0.092 0. 0.092 0.005 0. 0.005
339 0.09 0. 0.09 0.085 0. 0.085 0.005 0. 0.005
340 0.071 0. 0.071 0.065 0. 0.065 0.005 0. 0.005
341 0.076 0. 0.076 0.071 0. 0.071 0.005 0. 0.005
342 0.077 0. 0.077 0.072 0. 0.072 0.005 0. 0.005
343 0.078 0. 0.078 0.072 0. 0.072 0.005 0. 0.005
344 0.078 0. 0.078 0.073 0. 0.073 0.005 0. 0.005
345 0.079 0. 0.079 0.073 0. 0.073 0.005 0. 0.005
346 0.088 0. 0.088 0.083 0. 0.083 0.005 0. 0.005
347 0.106 0. 0.106 0.101 0. 0.101 0.005 0. 0.005
348 0.102 0. 0.102 0.097 0. 0.097 0.005 0. 0.005
349 0.09 0. 0.09 0.085 0. 0.085 0.005 0. 0.005
350 0.081 0. 0.081 0.075 0. 0.075 0.005 0. 0.005
351 0.081 0. 0.081 0.076 0. 0.076 0.005 0. 0.005
352 0.081 0. 0.081 0.076 0. 0.076 0.005 0. 0.005
353 0.082 0. 0.082 0.077 0. 0.077 0.005 0. 0.005
354 0.083 0. 0.083 0.078 0. 0.078 0.005 0. 0.005
355 0.094 0. 0.094 0.089 0. 0.089 0.005 0. 0.005
356 0.112 0. 0.112 0.106 0. 0.106 0.005 0. 0.005
357 0.105 0. 0.105 0.099 0. 0.099 0.005 0. 0.005
358 0.093 0. 0.093 0.087 0. 0.087 0.005 0. 0.005
359 0.085 0. 0.084 0.079 0. 0.079 0.005 0. 0.005
360 0.085 0. 0.085 0.08 0. 0.08 0.005 0. 0.005
361 0.086 0. 0.086 0.081 0. 0.081 0.005 0. 0.005
362 0.086 0. 0.086 0.08 0. 0.08 0.005 0. 0.005
363 0.102 0. 0.102 0.096 0. 0.096 0.005 0. 0.005
364 0.117 0. 0.117 0.111 0. 0.111 0.005 0. 0.005
365 0.11 0. 0.11 0.104 0. 0.104 0.005 0. 0.005
366 0.096 0. 0.096 0.09 0. 0.09 0.005 0. 0.005
367 0.088 0. 0.088 0.082 0. 0.082 0.005 0. 0.005
368 0.088 0. 0.088 0.082 0. 0.082 0.005 0. 0.005
369 0.088 0. 0.088 0.083 0. 0.083 0.005 0. 0.005
370 0.089 0. 0.089 0.084 0. 0.084 0.005 0. 0.005
371 0.11 0. 0.11 0.105 0. 0.105 0.005 0. 0.005
