param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
259,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
260,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.005,0.,0.005
261,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.005,0.,0.005
262,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.005,0.,0.005
263,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.006,0.,0.006
264,0.012,0.,0.012,0.018,0.003,0.014,0.006,0.,0.006,0.005,0.003,0.002
265,0.011,0.,0.011,0.017,0.,0.017,0.007,0.,0.007,0.006,0.,0.006
266,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.006,0.,0.006
267,0.012,0.,0.012,0.018,0.,0.018,0.006,0.,0.006,0.005,0.,0.005
268,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.006,0.,0.006
269,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
270,0.012,0.,0.012,0.019,0.,0.019,0.006,0.,0.006,0.006,0.,0.006
271,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
272,0.011,0.,0.011,0.017,0.,0.017,0.006,0.,0.006,0.006,0.,0.006
273,0.012,0.,0.012,0.019,0.,0.019,0.006,0.,0.006,0.006,0.,0.006
274,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
275,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
276,0.012,0.,0.012,0.019,0.,0.019,0.006,0.,0.006,0.006,0.,0.006
277,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
278,0.011,0.,0.011,0.018,0.,0.018,0.006,0.,0.006,0.006,0.,0.006
279,0.012,0.,0.012,0.019,0.,0.019,0.006,0.,0.006,0.006,0.,0.006
280,0.012,0.,0.012,0.018,0.,0.018,0.008,0.,0.008,0.006,0.,0.006
281,0.011,0.,0.011,0.018,0.,0.018,0.007,0.,0.007,0.006,0.,0.006
282,0.012,0.,0.012,0.019,0.,0.019,0.006,0.,0.006,0.006,0.,0.006
283,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.007,0.,0.007
284,0.012,0.,0.012,0.018,0.,0.018,0.007,0.,0.007,0.006,0.,0.006
285,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.006,0.,0.006
286,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.007,0.,0.007
287,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.006,0.,0.006
288,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007,0.006,0.,0.006
289,0.013,0.,0.013,0.02,0.,0.02,0.007,0.,0.007,0.006,0.,0.006
